('Fold : ', 0)
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
Iter 0, Minibatch Loss= 115868.617188, Training Accuracy= 0.16667
Iter 1, Minibatch Loss= 112195.375000, Training Accuracy= 0.19333
Iter 2, Minibatch Loss= 69954.023438, Training Accuracy= 0.31333
Iter 3, Minibatch Loss= 88751.833333, Training Accuracy= 0.36000
Iter 4, Minibatch Loss= 69211.813802, Training Accuracy= 0.26000
Iter 5, Minibatch Loss= 55649.226562, Training Accuracy= 0.30000
Iter 6, Minibatch Loss= 50102.854167, Training Accuracy= 0.38667
Iter 7, Minibatch Loss= 46203.263021, Training Accuracy= 0.36667
Iter 8, Minibatch Loss= 31371.244141, Training Accuracy= 0.49333
Iter 9, Minibatch Loss= 35824.842448, Training Accuracy= 0.39333
Iter 10, Minibatch Loss= 39870.310547, Training Accuracy= 0.38667
Iter 11, Minibatch Loss= 31155.768229, Training Accuracy= 0.50000
Iter 12, Minibatch Loss= 27064.475260, Training Accuracy= 0.49333
Iter 13, Minibatch Loss= 22974.809896, Training Accuracy= 0.54000
Iter 14, Minibatch Loss= 22820.547526, Training Accuracy= 0.54667
Iter 15, Minibatch Loss= 17180.302734, Training Accuracy= 0.60667
Iter 16, Minibatch Loss= 14175.084635, Training Accuracy= 0.61333
Iter 17, Minibatch Loss= 16852.188802, Training Accuracy= 0.56667
Iter 18, Minibatch Loss= 12286.175456, Training Accuracy= 0.67333
Iter 19, Minibatch Loss= 12771.441732, Training Accuracy= 0.66667
Iter 20, Minibatch Loss= 10007.562826, Training Accuracy= 0.70000
Iter 21, Minibatch Loss= 13534.026693, Training Accuracy= 0.66000
Iter 22, Minibatch Loss= 9223.492839, Training Accuracy= 0.67333
Iter 23, Minibatch Loss= 5950.822754, Training Accuracy= 0.78000
Iter 24, Minibatch Loss= 7821.882487, Training Accuracy= 0.69333
Iter 25, Minibatch Loss= 4824.113770, Training Accuracy= 0.84000
Iter 26, Minibatch Loss= 3610.405599, Training Accuracy= 0.86000
Iter 27, Minibatch Loss= 5385.750732, Training Accuracy= 0.77333
Iter 28, Minibatch Loss= 5435.685384, Training Accuracy= 0.84000
Iter 29, Minibatch Loss= 3723.214437, Training Accuracy= 0.84000
Iter 30, Minibatch Loss= 2069.008341, Training Accuracy= 0.90000
Iter 31, Minibatch Loss= 3288.171631, Training Accuracy= 0.87333
Iter 32, Minibatch Loss= 2706.963013, Training Accuracy= 0.86667
Iter 33, Minibatch Loss= 2053.793152, Training Accuracy= 0.91333
Iter 34, Minibatch Loss= 3735.011230, Training Accuracy= 0.90000
Iter 35, Minibatch Loss= 4255.486165, Training Accuracy= 0.86000
Iter 36, Minibatch Loss= 2993.584473, Training Accuracy= 0.88000
Iter 37, Minibatch Loss= 1817.335815, Training Accuracy= 0.90667
Iter 38, Minibatch Loss= 2123.098104, Training Accuracy= 0.87333
Iter 39, Minibatch Loss= 2928.197266, Training Accuracy= 0.87333
Iter 40, Minibatch Loss= 4252.147298, Training Accuracy= 0.88000
Iter 41, Minibatch Loss= 991.218964, Training Accuracy= 0.92667
Iter 42, Minibatch Loss= 829.952068, Training Accuracy= 0.94667
Iter 43, Minibatch Loss= 1323.183177, Training Accuracy= 0.93333
Iter 44, Minibatch Loss= 1093.148682, Training Accuracy= 0.88667
Iter 45, Minibatch Loss= 1791.556580, Training Accuracy= 0.92000
Iter 46, Minibatch Loss= 2056.694173, Training Accuracy= 0.88667
Iter 47, Minibatch Loss= 778.100149, Training Accuracy= 0.96667
Iter 48, Minibatch Loss= 1503.812602, Training Accuracy= 0.92667
Iter 49, Minibatch Loss= 1007.972819, Training Accuracy= 0.93333
Iter 50, Minibatch Loss= 1123.596212, Training Accuracy= 0.92000
Iter 51, Minibatch Loss= 556.626002, Training Accuracy= 0.96667
Iter 52, Minibatch Loss= 1438.411682, Training Accuracy= 0.93333
Iter 53, Minibatch Loss= 344.436807, Training Accuracy= 0.95333
Iter 54, Minibatch Loss= 634.736582, Training Accuracy= 0.94000
Iter 55, Minibatch Loss= 368.634766, Training Accuracy= 0.96000
Iter 56, Minibatch Loss= 1056.274495, Training Accuracy= 0.91333
Iter 57, Minibatch Loss= 362.054586, Training Accuracy= 0.95333
Iter 58, Minibatch Loss= 1028.544840, Training Accuracy= 0.96000
Iter 59, Minibatch Loss= 886.933451, Training Accuracy= 0.92667
Iter 60, Minibatch Loss= 145.308632, Training Accuracy= 0.98667
Iter 61, Minibatch Loss= 310.293236, Training Accuracy= 0.96000
Iter 62, Minibatch Loss= 89.417082, Training Accuracy= 0.98667
Iter 63, Minibatch Loss= 115.796941, Training Accuracy= 0.98000
Iter 64, Minibatch Loss= 1151.006246, Training Accuracy= 0.94667
Iter 65, Minibatch Loss= 229.656194, Training Accuracy= 0.97333
Iter 66, Minibatch Loss= 651.164037, Training Accuracy= 0.95333
Iter 67, Minibatch Loss= 336.635849, Training Accuracy= 0.96000
Iter 68, Minibatch Loss= 407.343445, Training Accuracy= 0.96000
Iter 69, Minibatch Loss= 349.119019, Training Accuracy= 0.96000
Iter 70, Minibatch Loss= 62.443619, Training Accuracy= 0.98000
Iter 71, Minibatch Loss= 341.920934, Training Accuracy= 0.97333
Iter 72, Minibatch Loss= 752.275513, Training Accuracy= 0.94667
Iter 73, Minibatch Loss= 485.011414, Training Accuracy= 0.97333
Iter 74, Minibatch Loss= 121.787659, Training Accuracy= 0.99333
Iter 75, Minibatch Loss= 54.217239, Training Accuracy= 0.99333
Iter 76, Minibatch Loss= 219.462290, Training Accuracy= 0.98667
Iter 77, Minibatch Loss= 268.572779, Training Accuracy= 0.98000
Iter 78, Minibatch Loss= 32.572994, Training Accuracy= 0.98667
Iter 79, Minibatch Loss= 492.792699, Training Accuracy= 0.96667
Iter 80, Minibatch Loss= 231.435893, Training Accuracy= 0.98667
Iter 81, Minibatch Loss= 421.823980, Training Accuracy= 0.98000
Iter 82, Minibatch Loss= 35.242395, Training Accuracy= 0.98667
Iter 83, Minibatch Loss= 238.222473, Training Accuracy= 0.97333
Iter 84, Minibatch Loss= 160.169790, Training Accuracy= 0.98000
Iter 85, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 86, Minibatch Loss= 259.858622, Training Accuracy= 0.96667
Iter 87, Minibatch Loss= 310.618907, Training Accuracy= 0.96667
Iter 88, Minibatch Loss= 18.603125, Training Accuracy= 0.99333
Iter 89, Minibatch Loss= 80.134532, Training Accuracy= 0.99333
Iter 90, Minibatch Loss= 438.382751, Training Accuracy= 0.97333
Iter 91, Minibatch Loss= 5.457292, Training Accuracy= 0.99333
Iter 92, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 93, Minibatch Loss= 587.642784, Training Accuracy= 0.96000
Iter 94, Minibatch Loss= 173.079122, Training Accuracy= 0.98667
Iter 95, Minibatch Loss= 377.827944, Training Accuracy= 0.97333
Iter 96, Minibatch Loss= 394.592143, Training Accuracy= 0.97333
Iter 97, Minibatch Loss= 220.232788, Training Accuracy= 0.98000
Iter 98, Minibatch Loss= 126.099762, Training Accuracy= 0.98667
Iter 99, Minibatch Loss= 509.247884, Training Accuracy= 0.96667
Iter 100, Minibatch Loss= 138.244690, Training Accuracy= 0.98000
Iter 101, Minibatch Loss= 30.416120, Training Accuracy= 0.99333
Iter 102, Minibatch Loss= 140.495412, Training Accuracy= 0.99333
Iter 103, Minibatch Loss= 200.781542, Training Accuracy= 0.97333
Iter 104, Minibatch Loss= 369.490432, Training Accuracy= 0.97333
Iter 105, Minibatch Loss= 9.993828, Training Accuracy= 0.99333
Iter 106, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 107, Minibatch Loss= 331.942673, Training Accuracy= 0.97333
Iter 108, Minibatch Loss= 135.971781, Training Accuracy= 0.98000
Iter 109, Minibatch Loss= 90.264165, Training Accuracy= 0.98667
Iter 110, Minibatch Loss= 112.890676, Training Accuracy= 0.99333
Iter 111, Minibatch Loss= 41.619662, Training Accuracy= 0.98667
Iter 112, Minibatch Loss= 118.806095, Training Accuracy= 0.98667
Iter 113, Minibatch Loss= 129.226278, Training Accuracy= 0.98667
Iter 114, Minibatch Loss= 118.796257, Training Accuracy= 0.98667
Iter 115, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 116, Minibatch Loss= 24.354584, Training Accuracy= 0.98667
Iter 117, Minibatch Loss= 120.444509, Training Accuracy= 0.99333
Iter 118, Minibatch Loss= 31.992813, Training Accuracy= 0.99333
Iter 119, Minibatch Loss= 209.610992, Training Accuracy= 0.98000
Iter 120, Minibatch Loss= 73.211121, Training Accuracy= 0.99333
Iter 121, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 122, Minibatch Loss= 333.671377, Training Accuracy= 0.98000
Iter 123, Minibatch Loss= 45.991562, Training Accuracy= 0.98667
Iter 124, Minibatch Loss= 195.391408, Training Accuracy= 0.98000
Iter 125, Minibatch Loss= 42.832865, Training Accuracy= 0.99333
Iter 126, Minibatch Loss= 23.198463, Training Accuracy= 0.99333
Iter 127, Minibatch Loss= 685.092997, Training Accuracy= 0.97333
Iter 128, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 129, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
